id,vin,stock_number,make,model,trim,model_year,body_style,exterior_color,interior_color,engine,transmission,drivetrain,fuel_type,mileage,mpg_city,mpg_highway,electric_range_miles,condition,title_status,accident_count,owner_count,carfax_url,msrp,acquisition_cost,list_price,sale_price,date_acquired,date_sold,status,lot_location,state,days_in_inventory,salesperson_name,salesperson_email,certified_pre_owned_program,warranty_months_remaining,keys_count,financing_available,trade_in_accepted,featured,views_count,exterior_condition_notes,interior_condition_notes,features,description
1,MMJBSE7CKX6MGCY29,STK20260001,Chevrolet,Silverado 1500,SL,2022,truck,Gray,Black,3.5L V6,8-Speed Automatic,FWD,gas,53255,24,30,,used,clean,0,1,https://www.carfax.com/vehicle/NR4FMZ0ZCXUJSJ7ZH,29900,8200,10800,,2026-02-05,,available,North Lot,CA,184,Aisha Bello,abello@dealership.com,,3,2,True,True,False,70,Windshield chip (non-obstructive),Light wear on driver seat,Blind Spot Monitor; Remote Start; Heated Seats; Leather Seats,"2022 Chevrolet Silverado 1500 SL - truck in gray, well-maintained with 53,255 miles."
2,U95A0ZUJYDRR85JTF,STK20260002,Volvo,S60,Platinum,2021,sedan,Black,Off-White,2.5L I4,10-Speed Automatic,RWD,gas,63945,27,39,,used,clean,0,4,https://www.carfax.com/vehicle/KYXF2U2UALA754LB5,61400,17600,22500,,2026-03-11,,available,Main Lot - A,TX,150,,,,0,2,True,False,False,134,Minor door ding rear passenger side,,Ventilated Seats; Leather Seats; Tow Package; 360 Camera,"2021 Volvo S60 Platinum - sedan in yellow, well-maintained with 63,945 miles."
3,KTU06WJSPDYMP5BYY,STK20260003,GMC,Terrain,GT,2022,suv,White,Tan,2.5L I4 Hybrid,CVT,4WD,hybrid,56968,26,34,,used,clean,0,1,https://www.carfax.com/vehicle/13DGUEGS5C35DYUAD,69800,20400,24600,,2026-07-08,,available,Main Lot - B,NY,31,Tom O'Malley,tomalley@dealership.com,,0,2,False,True,False,413,,,Sunroof; Remote Start; Leather Seats,"2022 GMC Terrain GT - suv in white, well-maintained with 56,968 miles."
4,ZHD6JWXPWU7G0HPZK,STK20260004,BMW,X5,GT,2026,suv,Blue,Black,Dual Motor Electric,1-Speed Direct Drive,4WD,electric,500,,,228,used,clean,0,3,https://www.carfax.com/vehicle/AXVDUTEMCJKRUK93U,72000,60800,75600,,2026-04-05,,pending,Overflow Lot,IL,125,Maria Gonzalez,mgonzalez@dealership.com,,0,1,True,True,True,112,,,Lane Keep Assist; Android Auto; Sunroof; Heated Steering Wheel; Leather Seats; Ventilated Seats; Keyless Entry; 360 Camera; Adaptive Cruise Control,"2026 BMW X5 GT - suv in matte gray, well-maintained with 500 miles."
5,6356GJD26PXF75936,STK20260005,Dodge,Charger,Trail,2022,sedan,White,Beige,3.5L V6,CVT,FWD,gas,44638,22,32,,used,clean,2,1,https://www.carfax.com/vehicle/1L7353J2D55H3SL3H,32300,9100,11100,,2026-01-22,,available,Main Lot - A,FL,198,,,,0,2,True,True,False,794,,,Apple CarPlay; 360 Camera; Sunroof; Premium Audio; Heated Steering Wheel; Blind Spot Monitor; Leather Seats; Backup Camera,"2022 Dodge Charger Trail - sedan in red, well-maintained with 44,638 miles."
6,XYE6TZL0VGYN1FVP4,STK20260006,Nissan,Pathfinder,Sport,2020,suv,Red,Gray,2.0L I4 PHEV,CVT,RWD,plug-in hybrid,77091,32,42,,used,clean,0,2,https://www.carfax.com/vehicle/G2XLRZT381YKYXD8H,33600,10400,11300,,2026-05-11,,available,North Lot,FL,89,James Whitfield,jwhitfield@dealership.com,,0,2,True,True,True,489,Light wear on wheel rims,,Ventilated Seats; Backup Camera; Lane Keep Assist; Blind Spot Monitor; Premium Audio; 360 Camera; Sunroof; Remote Start,"2020 Nissan Pathfinder Sport - suv in orange, well-maintained with 77,091 miles."
7,JJY2UXKCKJLUEHZ0C,STK20260007,Ford,Mustang,Premium,2020,coupe,Dark Green,Gray,3.0L I6 Turbo,8-Speed Automatic,FWD,gas,71222,25,37,,used,clean,0,2,https://www.carfax.com/vehicle/UPGP6WZ52NAM158P1,56100,15300,20700,,2026-04-11,,pending,Overflow Lot,FL,119,,,,6,2,True,True,False,32,Windshield chip (non-obstructive),Small stain on rear seat,Lane Keep Assist; Ventilated Seats; 360 Camera; Panoramic Roof; Android Auto; Premium Audio; Wireless Charging,"2020 Ford Mustang Premium - coupe in dark green, well-maintained with 71,222 miles."
8,2Y18GAFEZVH02FX1D,STK20260008,Kia,Telluride,SEL,2024,suv,Silver,Gray,3.5L V6,9-Speed Automatic,FWD,gas,16364,21,27,,certified_pre_owned,clean,0,1,https://www.carfax.com/vehicle/DALZ8P0CZXD25WD92,23000,12700,16800,,2026-06-02,,available,North Lot,CO,67,Lena Kowalski,lkowalski@dealership.com,Kia Certified,24,2,True,False,False,15,,Small stain on rear seat,360 Camera; Sunroof; Premium Audio,"2024 Kia Telluride SEL - suv in dark green, well-maintained with 16,364 miles."
9,G3M60KA8C0T2ZYT3D,STK20260009,GMC,Sierra 1500,Trail,2020,truck,Gray,Tan,2.0L I4 Turbo,6-Speed Manual,RWD,gas,68140,20,32,,used,clean,1,1,https://www.carfax.com/vehicle/ZLWSUR1L0JJDGDU2G,59900,18400,20700,20700,2026-03-23,2026-04-11,sold,Main Lot - B,GA,19,Tom O'Malley,tomalley@dealership.com,,3,2,True,True,False,306,Small scratch on bumper,Small stain on rear seat,Heated Steering Wheel; Tow Package; Remote Start; Backup Camera; Keyless Entry; Ventilated Seats; Android Auto,"2020 GMC Sierra 1500 Trail - truck in gray, well-maintained with 68,140 miles."
10,X3HURR59LXX18GGYF,STK20260010,Nissan,Rogue,SL,2022,suv,Silver,Brown,2.0L I4 Turbo,6-Speed Manual,FWD,gas,46353,30,41,,used,salvage,0,3,https://www.carfax.com/vehicle/CARWKH00RZ72XY7RU,39500,11400,14000,,2026-06-21,,available,Main Lot - B,IL,48,James Whitfield,jwhitfield@dealership.com,,3,2,True,True,False,317,,,Sunroof; Apple CarPlay; Wireless Charging; Adaptive Cruise Control; Leather Seats; Heated Seats; Heated Steering Wheel; Navigation System,"2022 Nissan Rogue SL - suv in orange, well-maintained with 46,353 miles."
11,LZ5LZK83VSLL9PT9Y,STK20260011,Volvo,XC90,Denali,2019,suv,Burgundy,Tan,2.5L I4,9-Speed Automatic,4WD,gas,94697,23,34,,used,clean,0,3,https://www.carfax.com/vehicle/PGM1X2GV7R0E9XHFV,53400,15500,19900,,2026-03-06,,pending,Overflow Lot,CO,155,Maria Gonzalez,mgonzalez@dealership.com,,0,1,True,True,False,123,Minor door ding rear passenger side,Small stain on rear seat,Panoramic Roof; Navigation System; Android Auto; Ventilated Seats; Keyless Entry; Sunroof; Third Row Seating,"2019 Volvo XC90 Denali - suv in yellow, well-maintained with 94,697 miles."
12,59HN5PLS7N93YF8E8,STK20260012,Tesla,Model X,XLE,2022,suv,Blue,Black,Single Motor Electric,1-Speed Direct Drive,4WD,electric,53687,,,261,used,clean,1,1,https://www.carfax.com/vehicle/5RUS0PYFS8MZY555N,48700,14100,17800,,2026-07-21,,available,North Lot,GA,18,Aisha Bello,abello@dealership.com,,0,3,True,False,True,649,,,360 Camera; Keyless Entry; Premium Audio; Remote Start; Tow Package; Third Row Seating,"2022 Tesla Model X XLE - suv in yellow, well-maintained with 53,687 miles."
13,7ESJJA36ZFRMWYRJ4,STK20260013,Hyundai,Tucson,LE,2025,suv,Gray,Tan,Tri Motor Electric,1-Speed Direct Drive,FWD,electric,2344,,,283,used,clean,0,1,https://www.carfax.com/vehicle/5DNMK0A4PA5297146,30900,22300,28400,,2026-01-16,,available,Main Lot - B,WA,204,Tom O'Malley,tomalley@dealership.com,,0,2,True,False,False,776,Minor door ding rear passenger side,,Heated Steering Wheel; Tow Package; Third Row Seating,"2025 Hyundai Tucson LE - suv in matte gray, well-maintained with 2,344 miles."
14,ZZP4VCPJEN1JNYNZS,STK20260014,Tesla,Model 3,Base,2026,sedan,Orange,Brown,Tri Motor Electric,1-Speed Direct Drive,RWD,electric,12,,,330,new,clean,0,0,,43600,38000,44400,,2026-07-05,,available,North Lot,FL,34,Derek Chan,dchan@dealership.com,,60,1,False,False,False,421,,,Keyless Entry; Adaptive Cruise Control; Remote Start; Heated Seats; Panoramic Roof; Sunroof; Leather Seats; Tow Package; Lane Keep Assist,"2026 Tesla Model 3 Base - sedan in black, brand new with 12 miles."
15,M9N6YBK884DGY9BM9,STK20260015,Tesla,Model 3,LE,2026,sedan,Orange,Beige,Tri Motor Electric,1-Speed Direct Drive,RWD,electric,12,,,329,new,clean,0,0,,58800,51500,60400,,2026-03-22,,pending,Main Lot - A,FL,139,Lena Kowalski,lkowalski@dealership.com,,36,3,True,True,False,154,,,Keyless Entry; Ventilated Seats; Navigation System; Sunroof; Premium Audio; Heated Seats; Third Row Seating; Wireless Charging; Panoramic Roof,"2026 Tesla Model 3 LE - sedan in orange, brand new with 12 miles."
16,YKYB94RD0R6LEEXW0,STK20260016,Toyota,RAV4,Limited,2024,suv,Dark Green,Brown,Single Motor Electric,1-Speed Direct Drive,FWD,electric,43403,,,330,certified_pre_owned,clean,0,2,https://www.carfax.com/vehicle/URWD05Y20HRHMRPDR,26800,12700,16800,,2026-08-03,,available,North Lot,WA,5,James Whitfield,jwhitfield@dealership.com,Toyota Certified,24,2,False,True,True,90,Windshield chip (non-obstructive),,Heated Seats; Panoramic Roof; Lane Keep Assist; Third Row Seating; Sunroof; Premium Audio; Tow Package,"2024 Toyota RAV4 Limited - suv in black, well-maintained with 43,403 miles."
17,K27MFEYC19DUNRFLL,STK20260017,Mazda,Mazda3,Sport,2021,sedan,Orange,Brown,2.0L I4 Hybrid,CVT,4WD,hybrid,55602,18,25,,used,clean,0,1,https://www.carfax.com/vehicle/CBFXZJYTRK1DRKZTZ,36000,10600,13600,,2026-05-09,,available,Main Lot - A,FL,91,,,,0,2,True,True,False,971,Windshield chip (non-obstructive),,Navigation System; Wireless Charging; Third Row Seating; Ventilated Seats; Backup Camera; Adaptive Cruise Control; Remote Start; Premium Audio; Apple CarPlay,"2021 Mazda Mazda3 Sport - sedan in gray, well-maintained with 55,602 miles."
18,3X47C4JWUPLMLFTDT,STK20260018,Tesla,Model S,Denali,2022,sedan,Blue,Gray,Single Motor Electric,1-Speed Direct Drive,4WD,electric,45344,,,241,used,clean,1,1,https://www.carfax.com/vehicle/143HEGW2YF2T12R7V,66200,18100,23700,,2026-05-09,,pending,Overflow Lot,WA,91,Maria Gonzalez,mgonzalez@dealership.com,,0,2,True,True,True,455,,,Ventilated Seats; Adaptive Cruise Control; Heated Seats; Tow Package; Backup Camera; Android Auto,"2022 Tesla Model S Denali - sedan in yellow, well-maintained with 45,344 miles."
19,9CYB09UXN7N2ZBXML,STK20260019,Hyundai,Santa Fe,Limited,2026,suv,Burgundy,Off-White,1.5L I4 Turbo,8-Speed Automatic,AWD,gas,0,30,40,,new,clean,0,0,,38600,33000,39500,38800,2026-03-03,2026-05-02,sold,Downtown Annex,IL,60,,,,36,2,True,True,True,682,,,Blind Spot Monitor; Remote Start; Keyless Entry; Lane Keep Assist; Apple CarPlay; Backup Camera; Third Row Seating; Sunroof,"2026 Hyundai Santa Fe Limited - suv in silver, brand new with 0 miles."
20,WFFZX60BN08X12HH8,STK20260020,Nissan,Sentra,Platinum,2020,sedan,Beige,Beige,Single Motor Electric,1-Speed Direct Drive,FWD,electric,76409,,,236,used,rebuilt,0,2,https://www.carfax.com/vehicle/N89SKNU833EJY5VD4,34900,9800,12200,,2026-06-22,,available,Main Lot - A,IL,47,Tom O'Malley,tomalley@dealership.com,,0,1,True,True,False,528,,Light wear on driver seat,Heated Seats; Lane Keep Assist; 360 Camera; Wireless Charging; Sunroof; Remote Start; Android Auto; Tow Package; Adaptive Cruise Control,"2020 Nissan Sentra Platinum - sedan in silver, well-maintained with 76,409 miles."
21,V0UDKKBP3SD6WAUHE,STK20260021,Mazda,Mazda3,Base,2023,sedan,Dark Green,Black,3.5L V6,9-Speed Automatic,AWD,gas,30910,31,38,,certified_pre_owned,clean,0,2,https://www.carfax.com/vehicle/XHPYC9CUT9VNSX9JA,26500,11800,13400,,2026-07-13,,available,Main Lot - A,WA,26,Priya Nair,pnair@dealership.com,Mazda Certified,24,2,True,False,False,343,Minor door ding rear passenger side,,Panoramic Roof; Backup Camera; Leather Seats; Wireless Charging; Navigation System; Heated Seats,"2023 Mazda Mazda3 Base - sedan in silver, well-maintained with 30,910 miles."
22,5LEN616N9TT7U30CW,STK20260022,Honda,CR-V,GT,2021,suv,Silver,Brown,1.8L I4 Hybrid,6-Speed Manual,RWD,hybrid,62597,31,36,,used,clean,1,3,https://www.carfax.com/vehicle/KDLKR0FRR07XRY3BZ,38400,10200,14100,,2026-05-24,,available,Downtown Annex,WA,76,Derek Chan,dchan@dealership.com,,3,3,True,True,False,625,,Light wear on driver seat,Blind Spot Monitor; Adaptive Cruise Control; Premium Audio,"2021 Honda CR-V GT - suv in yellow, well-maintained with 62,597 miles."
23,Z9GECF09389Z0VKKF,STK20260023,Volkswagen,Jetta,Premium,2024,sedan,Matte Gray,Off-White,2.0L I4 PHEV,9-Speed Automatic,RWD,plug-in hybrid,24680,21,30,,used,clean,0,1,https://www.carfax.com/vehicle/Y3TEGE3AVN3VXCL90,37600,21600,24700,,2026-03-14,,pending,Overflow Lot,CO,147,Aisha Bello,abello@dealership.com,,0,2,True,True,False,660,Minor door ding rear passenger side,Small stain on rear seat,Tow Package; 360 Camera; Heated Seats; Navigation System; Lane Keep Assist; Premium Audio; Third Row Seating,"2024 Volkswagen Jetta Premium - sedan in black, well-maintained with 24,680 miles."
24,Y0W4V4ABYWY2PYTXK,STK20260024,Volkswagen,Passat,SL,2021,sedan,Red,Tan,2.5L I4 Hybrid,10-Speed Automatic,4WD,hybrid,56240,20,27,,used,clean,0,2,https://www.carfax.com/vehicle/J3PRZFPSME5L9MP2T,34100,10300,12600,,2026-05-22,,available,Main Lot - A,WA,78,Derek Chan,dchan@dealership.com,,0,2,False,True,False,256,Small scratch on bumper,,Navigation System; Apple CarPlay; Adaptive Cruise Control; Leather Seats; Android Auto; 360 Camera; Panoramic Roof,"2021 Volkswagen Passat SL - sedan in silver, well-maintained with 56,240 miles."
25,4R612NPVGVCT2K9ZD,STK20260025,Chevrolet,Silverado 1500,XLE,2022,truck,Black,Tan,2.0L I4 PHEV,CVT,AWD,plug-in hybrid,35402,22,27,,certified_pre_owned,clean,0,1,https://www.carfax.com/vehicle/N9VNEWPBB03UE6E7L,34000,9500,13300,,2026-05-21,,available,Downtown Annex,IL,79,,,GM Certified,12,3,True,False,False,548,Windshield chip (non-obstructive),,Adaptive Cruise Control; Keyless Entry; Wireless Charging,"2022 Chevrolet Silverado 1500 XLE - truck in beige, well-maintained with 35,402 miles."
26,P2751CEGLYULF7MM2,STK20260026,Volvo,XC90,SEL,2019,suv,Matte Gray,Off-White,3.0L I6 Turbo,8-Speed Automatic,4WD,gas,78849,29,37,,used,clean,0,1,https://www.carfax.com/vehicle/YZXGJVH9KKG0LM73K,48900,14300,18400,,2026-06-10,,available,Main Lot - A,CO,59,Lena Kowalski,lkowalski@dealership.com,,0,2,True,True,False,297,,,Heated Seats; Blind Spot Monitor; Backup Camera; Panoramic Roof; Remote Start; Wireless Charging; Leather Seats; Lane Keep Assist,"2019 Volvo XC90 SEL - suv in matte gray, well-maintained with 78,849 miles."
27,LY6CVU077F6F79PT7,STK20260027,Ford,Explorer,XLE,2019,suv,Red,Black,5.0L V8,CVT,AWD,gas,74075,21,30,,used,rebuilt,0,1,https://www.carfax.com/vehicle/AVD9K9UT75SGDFSJG,30500,8900,11000,,2026-02-17,,available,North Lot,IL,172,James Whitfield,jwhitfield@dealership.com,,3,3,True,True,False,657,,,Apple CarPlay; Backup Camera; 360 Camera; Android Auto; Ventilated Seats; Remote Start; Third Row Seating; Keyless Entry; Panoramic Roof,"2019 Ford Explorer XLE - suv in dark green, well-maintained with 74,075 miles."
28,NH8SS9N071342ZW2U,STK20260028,Mazda,CX-9,Touring,2025,suv,Burgundy,Off-White,2.0L I4 Turbo,8-Speed Automatic,AWD,gas,21341,28,37,,used,clean,0,2,https://www.carfax.com/vehicle/M7D46GUF5RZ0T6RBE,28800,18600,22600,,2026-03-11,,available,Downtown Annex,GA,150,Tom O'Malley,tomalley@dealership.com,,0,3,True,False,False,829,,Light wear on driver seat,Tow Package; Lane Keep Assist; Adaptive Cruise Control; Heated Seats,"2025 Mazda CX-9 Touring - suv in red, well-maintained with 21,341 miles."
29,9NE9419S0PNHSFG52,STK20260029,Toyota,Highlander,SEL,2022,suv,White,Off-White,3.5L V6,CVT,FWD,gas,54381,19,26,,used,clean,0,2,https://www.carfax.com/vehicle/P26AGDBW0B1PHH5BT,35400,9400,13200,,2026-04-09,,in_transit,North Lot,FL,121,Lena Kowalski,lkowalski@dealership.com,,3,3,True,False,False,691,,Small stain on rear seat,360 Camera; Apple CarPlay; Premium Audio,"2022 Toyota Highlander SEL - suv in blue, well-maintained with 54,381 miles."
30,V8VEJGY74D0GJZW5G,STK20260030,Jeep,Cherokee,XLE,2024,suv,Orange,Off-White,2.5L I4,8-Speed Automatic,RWD,gas,42160,32,37,,certified_pre_owned,clean,1,1,https://www.carfax.com/vehicle/ZHG6L6GG1117Z0PHL,44500,21500,27100,,2026-02-24,,in_transit,North Lot,CO,165,Lena Kowalski,lkowalski@dealership.com,Jeep Certified,12,2,True,True,False,528,,,360 Camera; Keyless Entry; Third Row Seating; Heated Steering Wheel; Adaptive Cruise Control; Ventilated Seats; Premium Audio; Leather Seats; Lane Keep Assist,"2024 Jeep Cherokee XLE - suv in beige, well-maintained with 42,160 miles."
